#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
AC000036.1	0	0	9	0	8	5	2	11	0	0	27	0	4	33
AC000041.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000050.1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AC000050.3	0	0	4	0	0	0	1	0	1	0	0	0	1	0
AC000058.1	0	0	2	0	0	16	0	0	0	0	11	0	0	0
AC000061.1	7	0	0	0	0	0	1	0	0	0	2	0	0	0
AC000065.1	79	0	17	43	14	2	36	31	10	12	2	19	1	30
AC000065.2	22	0	0	0	4	0	6	2	0	1	4	0	1	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000068.1	6	427	23	145	39	10	43	19	19	1	36	15	25	16
AC000068.2	0	8	0	0	0	0	0	0	0	1	0	0	0	0
AC000068.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000072.1	0	0	0	0	0	10	0	1	0	0	0	0	0	0
AC000077.1	22	1	4	0	1	0	2	4	12	0	0	0	0	0
AC000078.1	3	0	0	0	1	1	4	9	0	1	0	9	2	6
AC000081.1	0	0	0	0	0	8	2	0	1	0	0	0	12	0
AC000081.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000082.1	0	0	2	0	0	7	18	4	6	2	0	6	6	1
AC000085.1	16	21	0	0	0	5	9	0	0	2	0	0	0	1
AC000089.1	19	25	8	21	24	12	22	10	8	9	8	9	5	16
AC000093.1	0	0	1	0	1	1	0	0	1	0	0	0	0	0
AC000095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000095.3	1	0	6	0	0	0	0	0	0	0	0	0	0	0
AC000111.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AC000111.2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC000113.1	0	0	3	0	0	0	0	0	0	0	7	0	19	15
AC000114.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.1	0	0	0	0	0	21	0	0	0	0	0	1	0	0
AC000120.2	72	0	18	150	39	9	8	44	0	16	48	1	1	11
AC000120.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000123.1	0	1	0	0	0	16	9	14	4	1	45	9	16	34
AC000123.2	17	0	5	3	4	32	22	43	20	21	22	6	46	32
AC000123.3	181	181	115	68	70	120	38	31	154	21	71	73	11	34
AC000124.1	0	0	8	0	0	0	0	0	0	0	0	1	2	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	16	0	0	2	1	23	0	0	2	0	102	4
AC000372.1	0	0	0	0	0	0	6	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
