#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
MAFG-DT	2	1	38	0	52	39	77	24	25	19	89	14	14	41
MAFK	59	65	32	198	91	107	140	79	58	67	65	72	106	88
MAFTRR	1	0	11	0	38	14	17	1	35	0	2	0	24	51
MAG	18	0	0	0	0	1	10	3	0	0	0	6	4	1
MAGEA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA10	0	0	5	0	1	0	0	8	4	0	0	0	0	0
MAGEA10-MAGEA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA11	0	0	0	0	0	0	0	3	0	0	0	0	0	0
MAGEA12	0	0	0	0	0	0	0	3	21	0	0	0	0	0
MAGEA13P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA3	0	0	2	0	0	0	0	1	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA4-AS1	0	0	0	0	0	1	1	0	0	0	11	0	0	0
MAGEA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA6	0	0	3	0	0	0	0	0	0	0	0	0	0	0
MAGEA7P	0	0	0	0	0	8	0	0	2	0	0	0	0	0
MAGEA8	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MAGEA8-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB1	0	0	1	0	0	0	0	0	1	0	0	2	2	0
MAGEB10	0	0	0	0	1	0	39	0	0	0	0	1	5	0
MAGEB16	6	0	1	0	0	0	0	0	3	0	0	0	0	0
MAGEB17	1	0	1	0	0	0	0	0	0	0	0	1	0	0
MAGEB18	0	0	13	0	0	0	39	0	0	0	0	0	0	0
MAGEB2	0	0	2	0	0	5	0	0	19	0	42	0	0	2
MAGEB3	18	0	0	0	0	0	0	0	6	2	0	0	6	5
MAGEB4	0	0	0	0	0	0	0	0	0	0	4	0	0	0
MAGEB5	0	0	0	0	0	0	0	0	0	0	0	0	6	2
MAGEB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEC1	0	0	8	0	0	0	0	0	0	0	0	0	0	7
MAGEC2	0	0	0	0	0	11	0	9	1	0	0	13	18	0
MAGEC3	17	0	1	0	4	0	0	0	0	0	4	0	6	0
MAGED1	8395	12165	6597	9689	7225	8142	11099	7475	6271	6385	5421	6222	4137	6578
MAGED2	12201	20323	11402	15538	13484	15356	20592	13851	10147	11819	9846	10192	8071	14794
MAGED4	0	1	1	0	0	0	0	0	0	2	0	0	0	0
MAGED4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEE1	80	248	36	1	44	43	64	46	46	55	0	62	31	51
MAGEE2	0	0	0	0	0	0	0	0	0	0	0	0	10	0
MAGEF1	839	1518	724	1337	744	1085	921	960	723	757	784	901	627	1029
MAGEH1	1265	781	1271	2087	1210	1297	1756	1400	1314	1000	1343	1083	952	1350
MAGEL2	0	0	0	0	0	0	0	0	5	0	0	0	0	0
MAGI1	2305	1921	960	485	1467	1370	1240	1928	1331	1207	1631	1070	1235	1820
MAGI1-AS1	0	9	0	0	0	0	0	0	0	3	0	1	0	0
MAGI1-IT1	0	1	24	0	0	14	13	1	9	6	107	0	23	25
MAGI2	69	157	171	60	88	157	83	112	179	23	206	61	260	51
MAGI2-AS1	2	0	0	0	0	1	0	0	0	0	0	5	0	0
MAGI2-AS2	0	0	0	0	0	0	0	0	4	0	0	4	0	0
MAGI2-AS3	3180	3484	3377	1480	3691	3706	2721	5082	3375	3060	4169	3085	2934	3479
MAGI3	367	459	377	580	529	487	459	698	527	493	299	660	314	485
MAGIX	18	1	25	1	10	23	47	34	43	12	45	22	4	12
MAGOH	2199	4750	2016	831	2849	1827	1499	2650	1854	1779	2663	2232	2158	2945
MAGOH2P	8	4	2	0	1	10	9	6	16	1	5	25	14	13
MAGOH3P	26	46	24	22	56	15	16	11	10	13	22	17	74	103
MAGOHB	3169	3677	3241	1826	3609	3808	2643	4862	3024	3512	3106	3182	3811	3656
MAGT1	9305	8843	9871	7111	14184	11808	9802	15457	11137	11190	8104	12189	9453	11649
MAIP1	1320	1269	1016	1042	1431	1608	1515	1743	1140	1127	1118	1199	1286	1799
MAJIN	21	0	0	0	7	7	16	13	1	5	7	0	1	2
MAK	65	17	21	178	19	44	50	81	37	4	12	16	12	37
MAK16	1474	1457	2117	2008	2598	1986	2528	2477	1945	2010	1441	2083	1357	2611
MAL	0	0	0	0	2	0	0	1	1	0	0	0	6	0
MAL2	1	1	0	0	65	0	1	0	6	0	0	0	3	2
MAL2-AS1	0	0	0	0	12	27	0	0	1	0	0	0	1	0
MALAT1	477485	468300	373374	235308	571135	488969	347565	581317	431914	426357	344481	427746	450227	458083
MALINC1	62	24	214	12	21	29	39	45	73	38	17	6	1	93
MALL	621	929	511	698	568	650	984	788	457	443	480	433	371	522
MALRD1	89	4	18	9	51	20	8	11	32	0	13	16	60	31
MALSU1	2497	5023	1969	2725	3196	2444	2219	2636	2501	2259	2631	2779	2529	4066
MALT1	1028	639	747	1104	1439	1130	977	868	816	753	460	1026	1015	1117
MAMDC2	5333	6122	4463	5377	5682	6290	6674	7707	4568	5051	3803	4737	4890	5223
MAMDC2-AS1	102	0	35	8	42	59	32	65	45	70	20	155	167	93
MAMDC4	5	0	2	0	21	46	39	20	4	8	0	5	19	4
MAML1	633	596	359	382	390	426	570	362	411	325	418	351	346	447
MAML2	575	189	601	185	1161	463	599	744	898	606	1066	606	600	676
MAML3	776	722	474	501	630	485	680	715	435	473	380	577	480	496
MAMLD1	92	208	129	119	199	162	163	99	146	98	219	125	141	191
MAMSTR	62	187	47	11	18	52	87	46	22	12	36	9	44	49
MAN1A1	1627	3084	2144	1636	2347	3162	2107	2330	1590	2236	1224	1706	1752	2072
MAN1A2	2452	1777	1946	2109	3609	2521	2560	2374	2223	2301	1991	2402	2454	2950
MAN1A2P1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
MAN1B1	2313	5161	2617	2938	2787	3655	5037	3316	2153	2560	1874	2040	1726	2138
MAN1B1-DT	38	347	54	41	44	86	126	54	40	58	80	65	62	68
MAN1C1	1	1	3	146	2	5	9	2	7	15	0	5	3	12
MAN2A1	8553	6150	5051	7278	9689	8446	6011	7945	7242	5915	5715	7078	6996	8831
MAN2A2	339	378	419	419	650	478	666	471	395	614	457	448	385	443
MAN2B1	1546	3327	1350	1399	1398	1354	2234	1595	962	1425	862	959	675	828
MAN2B2	1652	2001	1567	1955	2062	1710	2341	1758	1362	1654	1704	1649	1413	1838
MAN2C1	1228	1617	1038	1361	861	1194	1797	1205	820	897	731	650	638	754
MANBA	886	1269	481	529	506	350	426	551	465	640	596	457	680	426
MANBAL	2097	4228	1931	2481	2073	2544	3317	2289	1612	1952	1712	1694	1496	2308
MANCR	5424	7026	4528	3530	6482	5417	4402	4473	4462	3627	3662	4524	5664	6361
MANEA	1289	695	1023	463	1871	1465	1320	1600	1135	1322	604	1035	1202	1088
MANEA-DT	119	0	2	8	32	73	27	38	44	36	88	100	129	133
MANEAL	0	70	2	0	17	26	2	0	16	19	15	6	10	13
MANEALP1	0	0	0	0	0	0	0	0	0	0	17	0	0	0
MANF	4515	10224	4250	4843	4830	5305	6504	4001	3441	3721	4174	4114	3111	5637
MANSC1	2795	2757	2352	2979	2612	3404	4047	3160	2580	2445	2264	2913	2365	3304
MANSC4	12	0	0	0	0	2	10	0	26	1	0	0	41	0
MAOA	1415	2992	1571	678	1766	1511	2030	2151	1586	1380	1500	1541	1669	2090
MAOB	0	1	1	0	0	3	3	0	7	0	1	1	4	0
MAP10	8	0	13	2	115	55	97	97	138	102	1	117	30	28
MAP11	90	219	71	137	120	132	124	128	89	56	53	41	93	106
MAP1A	211	602	182	0	139	160	231	288	165	171	21	149	105	112
MAP1B	28671	33179	22827	27835	32542	25198	24844	27699	23482	27068	19240	27234	22320	30713
MAP1LC3A	468	962	377	323	488	495	634	389	300	337	362	305	284	449
MAP1LC3B	35400	40046	32732	29176	41406	40247	36672	40364	36561	36429	34060	39155	30634	44174
MAP1LC3B2	371	436	344	341	360	354	390	288	373	293	371	466	332	467
MAP1LC3BP1	3	1	3	0	2	3	0	2	1	0	1	1	1	1
MAP1LC3C	0	0	21	0	11	26	6	6	15	20	27	2	4	10
MAP1LC3P	0	0	0	0	0	0	0	0	11	0	0	0	0	0
MAP1S	1889	4027	1367	2294	2016	2248	3045	1844	1145	1622	890	1232	865	1343
MAP2	2870	3161	2007	888	3405	2826	2620	3659	2475	2107	1654	2339	2787	3459
MAP2K1	5002	5436	2713	4512	4335	4949	5363	4178	2723	2643	2091	2500	3377	4344
MAP2K1P1	0	1	1	6	0	3	5	0	1	3	1	1	3	10
MAP2K2	3545	6865	2608	3764	3721	3822	2545	1915	2138	2802	2398	1915	1833	2647
MAP2K3	2332	4170	2131	3112	2505	2936	4467	3254	2119	2673	2293	1884	1491	2408
MAP2K4	2268	4179	2331	3023	3303	3053	3229	2878	2320	2713	2193	2431	2024	2662
MAP2K4P1	2	6	18	4	10	4	2	10	14	5	47	8	66	4
MAP2K5	546	2288	877	1743	1146	1123	697	1020	855	910	1098	899	480	968
MAP2K6	538	1	97	1	94	109	136	190	207	109	463	89	201	85
MAP2K7	62	69	32	76	104	92	61	51	21	33	33	48	53	95
MAP3K1	731	266	501	22	886	292	433	813	586	574	363	563	503	644
MAP3K10	18	7	10	29	19	27	27	15	18	7	27	6	13	21
MAP3K11	1327	2890	909	1295	1211	1683	2274	1222	823	918	836	749	758	1167
MAP3K12	331	355	229	83	202	258	432	260	157	188	265	186	119	257
MAP3K13	3316	3051	3257	1920	3250	2979	1940	2457	2732	2655	2819	3502	2720	3405
MAP3K14	33	69	45	356	86	94	156	58	82	49	40	65	42	90
MAP3K14-AS1	43	0	9	0	16	4	25	49	21	28	8	1	1	22
MAP3K15	15	0	21	1	5	12	6	12	30	6	29	1	26	24
MAP3K19	3	0	26	0	16	2	9	2	22	9	52	1	19	22
MAP3K2	2294	2165	1145	394	1855	1408	1588	1955	1704	1421	1481	1723	1518	2098
MAP3K2-DT	82	1	122	21	77	68	62	64	35	31	131	25	71	22
MAP3K20	2892	3537	1993	2494	2742	2373	2275	2971	2160	1949	2092	2064	2160	2922
MAP3K20-AS1	1	0	1	0	3	5	9	5	0	3	12	3	25	15
MAP3K21	14	2	13	0	5	2	54	8	33	18	18	50	25	52
MAP3K3	1491	3162	1260	1946	1639	2056	2170	1535	1235	1322	1189	1264	1105	1554
MAP3K4	394	720	252	528	264	412	488	334	395	341	233	408	411	379
MAP3K5	434	7	322	173	578	493	518	524	540	366	476	414	520	877
MAP3K5-AS1	1	1	6	1	1	1	14	2	0	1	6	0	2	15
MAP3K6	362	475	197	464	258	242	268	233	212	242	139	165	175	276
MAP3K7	4359	4561	3116	2654	4488	4055	3981	4354	3572	4326	2756	3982	2958	4320
MAP3K7CL	1195	2290	1273	1258	1536	1451	1211	1478	1154	891	1295	1084	1318	1074
MAP3K8	91	94	128	71	110	86	104	135	97	82	82	65	169	102
MAP3K9	24	0	9	0	2	18	11	25	19	7	100	2	26	29
MAP4	7605	13571	7527	8531	8445	8650	11332	7895	5477	7287	6188	7826	5173	7662
MAP4K1	18	0	6	1	8	0	7	0	4	2	4	3	2	2
MAP4K2	943	1144	549	965	861	703	923	629	539	551	386	551	388	563
MAP4K3	4120	2668	4088	4562	5942	5200	3785	7032	4782	3808	3700	4444	4337	4524
MAP4K3-DT	471	784	792	1030	699	715	853	877	638	728	842	519	697	789
MAP4K4	9062	9019	6952	8771	10211	8759	7690	7882	7290	7673	8170	7973	7810	9847
MAP4K5	4731	7033	4241	3351	5621	4702	4370	6061	4295	4922	2931	5186	4200	5671
MAP6	0	16	14	0	22	44	35	7	5	9	25	16	28	30
MAP6D1	26	72	17	13	27	20	42	21	16	9	17	16	5	2
MAP7	22	0	39	0	4	27	35	16	27	45	52	4	25	8
MAP7D1	2173	4117	1125	2826	1795	2284	2298	1149	1140	869	809	925	929	2202
MAP7D2	4	0	0	0	0	0	8	22	6	4	0	3	23	11
MAP7D3	2250	3803	2023	2312	3266	2137	2336	2505	2224	2345	2301	2545	2373	3150
MAP9	164	140	157	182	229	204	130	143	257	122	70	137	140	208
MAPK1	10067	12103	8822	8215	11326	10600	12134	10589	9340	9241	7480	9857	8127	11818
MAPK10	340	18	167	11	205	137	131	232	128	142	212	125	135	208
MAPK10-AS1	0	0	10	0	0	0	0	0	0	0	0	0	0	0
MAPK11	74	31	97	71	121	135	157	76	44	38	68	61	35	94
MAPK12	1691	2045	982	1907	1200	1457	2099	1355	768	990	964	873	606	1104
MAPK13	428	826	499	458	422	578	549	402	391	324	276	330	196	403
MAPK14	2123	2143	2307	2641	2306	2352	3101	2564	2299	2099	1893	2642	1996	2733
MAPK15	0	0	0	0	0	0	0	2	0	0	4	0	0	0
MAPK1IP1L	14821	14485	14459	11633	17586	18256	16489	18828	13921	14616	10950	14076	12170	15742
MAPK3	666	1244	536	803	595	772	938	542	391	307	439	294	306	672
MAPK4	3	0	11	0	0	0	13	0	14	0	0	7	45	5
MAPK6	3381	3532	2835	2875	4986	3931	3546	4282	3556	3163	2757	4115	3218	3379
MAPK6-DT	5	104	13	0	5	5	0	2	1	3	0	2	0	6
MAPK6P1	5	0	0	0	1	3	0	0	0	0	0	1	0	0
MAPK6P2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK6P3	0	1	1	1	0	1	2	7	6	5	1	3	13	11
MAPK6P4	0	0	0	0	0	1	0	1	2	0	0	0	0	2
MAPK6P5	0	0	0	0	3	0	0	0	0	0	0	0	0	0
MAPK6P6	0	0	0	0	0	0	0	1	0	0	4	0	1	0
MAPK7	313	418	233	233	290	279	362	267	153	236	113	147	90	293
MAPK8	1669	1206	1555	838	2024	1797	1374	2339	1661	2099	1921	2414	1960	2069
MAPK8IP1	18	6	5	53	24	17	21	11	11	12	7	10	8	16
MAPK8IP1P1	0	0	0	0	0	0	0	0	1	0	0	0	3	0
MAPK8IP1P2	2	0	1	0	0	0	0	0	1	0	0	0	0	1
MAPK8IP2	0	0	11	0	0	0	5	6	7	3	13	2	5	1
MAPK8IP3	216	503	164	122	180	240	337	195	143	134	147	143	87	166
MAPK9	3559	2902	2380	3642	3543	2917	2889	3481	3234	2990	2490	3235	2912	4068
MAPKAP1	3821	5230	3120	2324	3816	3733	5304	3612	2974	3357	2979	3494	2598	3589
MAPKAPK2	228	768	173	382	284	231	267	157	118	120	126	168	122	284
MAPKAPK3	827	1726	599	1397	874	1035	1629	892	663	671	742	605	595	711
MAPKAPK5	1290	3607	1667	1572	1649	1719	2003	1868	1301	1401	1173	1410	1456	1774
MAPKAPK5-AS1	1489	2848	1080	945	1570	1379	1939	1684	1333	1269	1340	967	1140	1920
MAPKAPK5P1	0	0	0	0	17	0	0	0	0	0	0	0	0	0
MAPKBP1	511	704	339	375	522	272	438	476	263	210	210	268	186	336
MAPRE1	8434	12199	6833	8773	8624	7843	9186	8024	7092	7157	7504	7144	5764	9421
MAPRE1P1	8	4	5	4	4	0	2	0	4	7	2	4	1	3
MAPRE1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPRE2	15551	22307	13927	15024	15671	16417	19278	16897	13428	14661	12393	13967	10647	16809
MAPRE3	42	28	45	99	36	45	61	51	31	20	54	40	55	65
MAPRE3-AS1	2	0	2	1	2	2	9	0	12	0	0	2	8	1
MAPT	7	1	18	21	42	15	19	7	17	2	20	9	24	42
MAPT-AS1	73	0	21	1	15	0	13	2	15	2	0	0	0	7
MAPT-IT1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MARCHF1	102	33	124	77	238	144	76	273	84	66	47	115	148	187
MARCHF10	19	10	16	9	10	2	7	11	5	0	45	1	19	18
MARCHF10-DT	0	0	12	0	0	0	10	0	0	0	17	1	0	0
MARCHF11	0	0	9	0	0	0	0	0	32	0	0	0	2	5
MARCHF11-AS1	7	0	2	0	8	0	0	0	0	0	0	0	7	0
MARCHF2	1680	1502	1525	1664	1370	1674	2119	1695	1035	1286	857	1209	1001	1251
MARCHF3	6927	11830	4166	4513	5578	5648	6514	5261	3803	4281	2935	3740	3667	5316
MARCHF4	243	407	206	228	377	291	385	188	190	217	167	144	234	307
MARCHF5	6275	8418	6409	5872	7693	7283	6629	8987	6662	6626	4877	6173	5583	8148
MARCHF6	4273	4064	3245	2724	4141	3980	3676	4506	3937	3628	2949	4024	3789	4297
MARCHF7	8682	9183	10727	5131	14608	9759	9134	13157	11956	10502	9864	9841	9585	12395
MARCHF8	607	798	501	847	1000	915	651	996	902	439	749	717	652	757
MARCHF9	47	75	37	0	98	92	113	69	34	6	12	46	36	73
MARCKS	42527	37164	27486	23745	48662	37812	21965	41318	35160	22671	34823	31688	37698	42011
MARCKSL1	8641	15483	8129	10642	9266	10268	12203	9793	7366	7694	7923	7444	6165	9270
MARCKSL1P1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MARCKSL1P2	0	0	5	0	0	4	0	0	4	0	0	8	8	2
MARCO	3	4	1	2	5	9	8	7	7	6	1	3	16	5
MARCOL	0	0	6	0	0	0	0	0	0	0	0	0	0	0
MARF1	792	1132	774	249	934	820	823	766	942	860	1002	948	1007	1010
MARK1	49	239	62	0	89	94	127	287	215	54	28	86	92	239
MARK2	593	1289	569	911	494	655	1061	630	505	438	400	580	484	499
MARK2P10	3	0	12	0	0	0	0	0	0	0	0	0	0	1
MARK2P11	0	0	1	0	0	1	0	8	1	0	5	0	10	0
MARK2P12	0	0	1	0	0	0	4	2	0	0	0	6	6	3
MARK2P13	0	0	0	0	0	0	0	0	0	0	41	4	2	5
MARK2P14	0	0	0	0	0	6	10	1	5	0	7	0	2	0
MARK2P15	0	0	7	0	0	0	3	1	0	0	3	0	0	0
MARK2P16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK2P17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARK2P4	20	0	0	0	0	0	11	0	0	0	0	0	9	0
MARK2P5	12	0	3	0	0	5	0	2	0	0	20	1	6	0
MARK2P6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MARK2P8	0	15	11	0	2	1	13	0	0	1	5	1	15	7
MARK2P9	1	1	11	155	0	2	4	3	16	0	0	4	13	9
MARK3	4209	5780	3618	5065	4113	3962	4904	4725	3302	3647	2830	4404	3175	4547
MARK3P1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
MARK3P3	0	0	0	0	0	0	2	0	0	0	0	0	3	0
MARK4	114	506	104	256	135	169	186	92	71	89	100	97	81	150
MARS1	5630	7024	4598	9643	4928	5931	8874	6588	4057	4749	4040	4092	3125	4440
MARS2	411	509	224	674	300	375	501	342	234	220	236	189	223	288
MARVELD1	1781	3193	1601	3300	2460	2302	1844	1123	1315	1667	1451	1357	1448	2054
MARVELD2	309	698	342	968	256	359	388	514	347	332	301	248	315	459
MARVELD3	103	1	3	56	21	6	21	17	13	3	23	23	10	32
MAS1	0	176	39	0	13	44	25	1	20	8	3	1	5	5
MAS1L	0	0	0	0	0	0	0	0	0	0	3	0	0	0
MAS1LP1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MASP1	19	0	30	0	3	40	51	3	13	13	27	18	9	25
MASP2	0	23	4	0	35	23	19	5	9	9	1	4	14	13
MAST1	6	181	7	1	2	7	13	3	8	5	5	3	6	0
MAST2	673	457	610	342	661	571	1044	622	467	653	424	552	367	627
MAST3	46	166	63	159	78	60	86	49	33	67	60	34	27	68
MAST4	6423	6986	4747	2953	6512	5669	5238	5473	4973	4684	3965	5492	5325	6225
MAST4-AS1	127	0	42	0	59	44	116	46	32	37	38	62	50	38
MAST4-IT1	1	0	7	0	0	1	0	0	0	0	0	0	0	17
MASTL	496	189	628	402	689	733	879	1321	1149	699	201	747	886	858
MAT1A	0	3	0	0	0	0	0	0	0	0	0	0	12	8
MAT2A	14080	18430	14110	17431	15347	14781	22957	19285	14101	16015	12540	15984	13275	18291
MAT2B	12129	11687	11646	6928	14225	15308	13913	16760	11295	11639	10913	11508	9595	13674
MATK	3	0	0	0	2	0	4	2	0	1	0	3	4	4
MATN1	0	0	0	0	0	1	3	0	2	0	0	0	0	1
MATN1-AS1	1	0	2	0	6	1	1	10	1	5	0	2	2	3
MATN2	10	0	82	1	79	25	41	56	70	21	162	3	65	44
MATN3	130	2	185	105	325	296	249	147	106	122	118	158	150	226
MATN4	2	0	0	20	0	0	1	3	9	0	1	2	1	1
MATR3	21837	17713	16276	15077	24113	20379	18537	26729	18117	17646	16594	18724	18394	19850
MAU2	791	1548	858	1270	1112	947	1357	1218	825	918	851	722	761	1022
MAVS	4005	4387	2983	3666	3598	3647	5327	3846	2560	2992	2620	2706	2270	3768
MAX	2140	3988	2093	2775	3109	2453	2765	2618	1877	2091	1890	1929	1474	2531
MAZ	254	610	193	271	310	292	434	231	176	214	220	210	153	270
MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MB21D2	288	1050	280	82	356	364	262	409	230	152	176	217	389	508
MBD1	2078	3056	1894	3043	2316	2677	2869	2503	1664	1792	1417	1867	1955	2341
MBD2	1818	2293	1119	1718	1751	1539	1244	1205	1111	1102	1738	1179	1533	2129
MBD3	1625	3210	1126	2412	1466	1656	1981	1289	871	997	930	1083	955	1115
MBD3L1	15	0	0	0	0	0	0	15	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L3	0	0	0	0	0	0	0	1	0	0	2	0	0	0
MBD3L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MBD4	1736	4217	2010	1218	2284	2174	2156	2325	2253	2362	3061	2901	1791	3128
MBD5	652	1647	396	100	512	589	414	491	405	411	331	505	481	726
MBD6	221	93	81	71	106	130	145	78	60	65	47	94	42	154
MBIP	1022	260	1015	1105	1542	1068	962	1638	822	895	1058	983	682	1172
MBL1P	11	0	12	0	25	10	37	21	9	11	0	8	12	3
MBL2	0	0	0	0	0	0	0	0	4	0	0	0	0	0
MBL3P	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MBLAC1	44	58	35	33	32	48	64	28	19	31	39	16	6	29
MBLAC2	642	1147	567	618	1142	697	646	1105	603	670	1030	515	706	924
MBNL1	17100	12794	13582	6417	19004	16037	12197	23394	15471	12575	13512	14555	14432	14149
MBNL1-AS1	18	0	37	107	104	49	66	54	31	34	105	5	112	100
MBNL2	6026	5614	4804	4658	7770	5616	5197	6885	5233	4328	3992	5783	5053	6574
MBNL3	265	110	66	2	215	49	107	44	14	65	120	83	175	115
MBOAT1	45	193	54	67	67	32	28	104	21	26	100	54	29	90
MBOAT2	1216	1071	947	209	953	830	781	1300	942	930	1046	1242	1286	1167
MBOAT4	0	88	13	0	0	2	2	40	19	6	0	0	6	9
MBOAT7	4736	8477	3706	5660	4021	4951	6700	4564	3177	3388	2969	3181	2618	4115
MBP	111	31	54	150	173	59	63	92	62	45	64	79	80	64
MBTD1	518	834	208	15	373	517	179	476	297	133	189	219	614	276
MBTPS1	5260	5465	5566	4315	5961	6083	7716	7901	5139	5026	3747	5400	4352	5202
MBTPS2	1396	1140	1517	2682	2029	2302	2004	2353	2255	1921	1612	1719	1801	2019
MC1R	40	0	25	192	14	35	61	28	11	18	48	10	13	16
MC2R	0	0	0	0	0	0	0	0	0	0	11	0	0	0
MC3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC4R	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC5R	1	0	0	0	0	9	1	0	6	0	0	0	0	0
MCAM	78021	117085	62769	85090	79364	79298	106033	80635	51186	58617	49589	57279	49427	68866
MCAT	490	880	618	710	650	664	1064	793	451	536	511	459	356	573
MCC	3154	1178	1649	1292	3580	2149	2052	2493	1681	1815	2143	1641	2476	2807
MCCC1	1371	2681	1633	2224	1945	1837	2236	1800	1407	1701	1812	2030	1260	1770
MCCC1-AS1	0	0	6	0	13	0	28	0	3	0	1	0	3	0
MCCC2	3399	3020	2526	3453	3698	3117	3820	3073	2508	2849	2384	2941	2624	4099
MCCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCCD1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCCD1P2	0	0	0	0	0	1	1	0	3	1	0	0	0	0
MCEE	505	500	637	495	627	508	503	609	488	514	725	522	515	743
MCEMP1	12	10	7	12	6	5	19	6	7	8	13	5	4	11
MCF2	20	2	12	0	0	55	1	26	22	0	2	12	4	18
MCF2L	1	1	3	0	1	0	3	0	4	1	35	1	16	5
MCF2L-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF2L2	102	15	101	79	147	103	108	87	123	62	185	62	263	161
MCFD2	24222	25243	21286	18789	31207	24010	21178	33421	25030	20036	26997	26598	26268	29674
MCFD2P1	30	20	20	13	11	9	20	2	3	6	3	2	1	12
MCHR1	85	65	10	0	1	0	13	2	1	0	1	0	15	0
MCHR2	89	0	23	0	1	9	0	0	40	0	1	0	47	1
MCHR2-AS1	12	0	11	0	0	0	0	0	0	0	0	0	0	0
MCIDAS	1	0	0	0	0	1	0	0	0	0	3	1	0	0
MCL1	12585	15583	10711	4653	14635	11063	11443	19162	12435	10354	10423	12231	12194	14083
MCM10	182	850	396	369	228	403	451	406	290	267	343	447	405	300
MCM2	432	636	507	646	526	522	841	559	336	475	388	336	221	249
MCM3	2419	2594	1723	4016	2225	2020	3361	2361	1858	1918	1442	1638	1297	1919
MCM3AP	427	917	425	648	448	570	806	582	427	411	518	465	476	535
MCM3AP-AS1	241	767	250	252	129	224	226	202	238	270	121	155	186	219
MCM4	1776	3394	1944	2158	2011	1895	2514	2072	1654	1806	1560	1685	1792	1791
MCM5	1680	2229	1622	1665	1753	2109	2866	1909	1337	1428	1154	1305	728	1177
MCM6	1871	2606	1612	2174	2031	2054	2808	1835	1522	1593	1572	1758	1727	2127
MCM7	3067	4096	2184	4666	2838	3010	4873	3255	1801	2265	1798	2068	1543	2124
MCM8	143	283	104	245	253	156	188	118	185	134	125	73	112	148
MCM8-AS1	1	0	7	62	14	0	0	1	9	0	0	3	0	3
MCM9	801	267	525	729	577	501	700	824	511	452	604	559	584	557
MCMBP	5418	5734	5063	5826	6247	5078	6330	5933	5034	5123	4492	4858	4346	5890
MCMDC2	10	10	96	1	53	59	106	23	62	10	121	21	106	124
MCOLN1	324	1001	354	298	345	518	731	440	299	317	278	327	310	379
MCOLN2	65	0	55	0	8	10	12	11	31	1	4	19	2	41
MCOLN3	67	145	4	1	20	17	69	42	42	1	53	98	21	34
MCPH1	1137	1529	1137	1362	1343	1152	1162	1625	1081	1272	577	904	660	1022
MCPH1-AS1	61	108	91	1	133	63	83	130	84	57	220	18	119	116
MCRIP1	2170	4201	1847	3056	2051	2456	3323	2193	1353	1699	1660	1437	1297	2417
MCRIP2	449	653	329	150	401	382	590	361	302	315	276	199	219	331
MCRIP2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCRIP2P2	0	0	0	0	0	0	0	1	0	0	0	4	0	0
MCRS1	1559	3324	1601	1152	1692	2113	3168	2035	1311	1598	1501	1265	1068	1606
MCTP1	436	1112	569	1256	596	647	429	833	476	371	259	502	563	615
