gene,type
CNTFR,cytokin/chemokine_&_receptors
COL1A1,growth_factors_&_receptors
COL1A2,growth_factors_&_receptors
COL2A1,growth_factors_&_receptors
COL3A1,growth_factors_&_receptors
COL4A1,growth_factors_&_receptors
COL5A1,growth_factors_&_receptors
COL6A1,growth_factors_&_receptors
COPA,hormones_&_receptors
CORT,hormones_&_receptors
CRH,hormones_&_receptors
CRHBP,hormones_&_receptors
CRHR1,hormones_&_receptors
CRHR2,hormones_&_receptors
CRIM1,growth_factors_&_receptors
CRLF2,cytokin/chemokine_&_receptors
CRYM,hormones_&_receptors
CSF1,growth_factors_&_receptors
CSF1,cytokin/chemokine_&_receptors
CSF1R,cytokin/chemokine_&_receptors
CSF2,cytokin/chemokine_&_receptors
CSF2,growth_factors_&_receptors
CSF2RA,cytokin/chemokine_&_receptors
CSF2RB,cytokin/chemokine_&_receptors
CSF3,growth_factors_&_receptors
CSF3,cytokin/chemokine_&_receptors
CSF3R,cytokin/chemokine_&_receptors
CSH1,growth_factors_&_receptors
CSH1,cytokin/chemokine_&_receptors
CSH1,hormones_&_receptors
CSH2,growth_factors_&_receptors
CSH2,cytokin/chemokine_&_receptors
CSH2,hormones_&_receptors
CSHL1,growth_factors_&_receptors
CSHL1,hormones_&_receptors
CSPG5,growth_factors_&_receptors
CTF1,cytokin/chemokine_&_receptors
CTSH,hormones_&_receptors
CX3CL1,cytokin/chemokine_&_receptors
CX3CR1,cytokin/chemokine_&_receptors
CXCL1,growth_factors_&_receptors
CXCL1,cytokin/chemokine_&_receptors
CXCL10,cytokin/chemokine_&_receptors
CXCL11,cytokin/chemokine_&_receptors
CXCL12,cytokin/chemokine_&_receptors
CXCL12,growth_factors_&_receptors
CXCL13,cytokin/chemokine_&_receptors
CXCL13,growth_factors_&_receptors
CXCL14,cytokin/chemokine_&_receptors
CXCL16,cytokin/chemokine_&_receptors
CXCL17,cytokin/chemokine_&_receptors
CXCL2,cytokin/chemokine_&_receptors
CXCL3,cytokin/chemokine_&_receptors
CXCL5,cytokin/chemokine_&_receptors
CXCL6,cytokin/chemokine_&_receptors
CXCL8,cytokin/chemokine_&_receptors
CXCL9,cytokin/chemokine_&_receptors
CXCR1,cytokin/chemokine_&_receptors
CXCR2,cytokin/chemokine_&_receptors
CXCR3,cytokin/chemokine_&_receptors
CXCR4,cytokin/chemokine_&_receptors
CXCR5,cytokin/chemokine_&_receptors
CXCR6,cytokin/chemokine_&_receptors
DAB2IP,growth_factors_&_receptors
DKFZp686A06204,growth_factors_&_receptors
DKFZp781F1414,growth_factors_&_receptors
DKK1,growth_factors_&_receptors
E7CCH4,hormones_&_receptors
EBI3,cytokin/chemokine_&_receptors
EBI3,hormones_&_receptors
ECE1,hormones_&_receptors
ECM1,growth_factors_&_receptors
ECRG4,hormones_&_receptors
EDA,cytokin/chemokine_&_receptors
EDA2R,cytokin/chemokine_&_receptors
EDAR,cytokin/chemokine_&_receptors
EDN1,hormones_&_receptors
EDN2,hormones_&_receptors
EDN3,hormones_&_receptors
EDNRB,hormones_&_receptors
EFEMP1,growth_factors_&_receptors
EGF,growth_factors_&_receptors
EGFR,growth_factors_&_receptors
EGFR,hormones_&_receptors
ENDOU,growth_factors_&_receptors
ENG,growth_factors_&_receptors
ENHO,hormones_&_receptors
EPGN,growth_factors_&_receptors
EPHA2,growth_factors_&_receptors
EPHA7,growth_factors_&_receptors
EPHA8,growth_factors_&_receptors
EPO,cytokin/chemokine_&_receptors
EPO,hormones_&_receptors
EPOR,cytokin/chemokine_&_receptors
ERAP1,growth_factors_&_receptors
ERBB2,growth_factors_&_receptors
ERBB3,growth_factors_&_receptors
ERBB4,growth_factors_&_receptors
EREG,growth_factors_&_receptors
ERFE,hormones_&_receptors
ERN1,growth_factors_&_receptors
ESM1,growth_factors_&_receptors
F2,growth_factors_&_receptors
F6MF51,growth_factors_&_receptors
